1BA6	1BA7	00
1BA8	1BA9	01
1BAA	1BAA	00
1BAB	1BAD	01
1BAE	1BAF	10
1BB0	1BB9	02
1BBA	1BE5	10
1BE6	1BE6	01
1BE7	1BE7	00
1BE8	1BE9	01
1BEA	1BEC	00
1BED	1BED	01
1BEE	1BEE	00
1BEF	1BF1	01
1BF2	1BFF	00
1C00	1C23	10
1C24	1C2B	00
1C2C	1C33	01
1C34	1C35	00
1C36	1C37	01
1C38	1C3F	00
1C40	1C49	02
1C4A	1C4C	00
1C4D	1C4F	10
1C50	1C59	02
1C5A	1C77	10
1C78	1C7D	20
1C7E	1C7F	00
1C80	1C88	20
1C89	1C8F	00
1C90	1CBA	20
1CBB	1CBC	00
1CBD	1CBF	20
1CC0	1CCF	00
1CD0	1CD2	01
1CD3	1CD3	00
1CD4	1CE0	01
1CE1	1CE1	00
1CE2	1CE8	01
1CE9	1CEC	10
1CED	1CED	01
1CEE	1CF3	10
1CF4	1CF4	01
1CF5	1CF6	10
1CF7	1CF7	00
1CF8	1CF9	01
1CFA	1CFA	10
1CFB	1CFF	00
1D00	1DBF	20
1DC0	1DF9	01
1DFA	1DFA	00
1DFB	1DFF	01
1E00	1F15	20
1F16	1F17	00
1F18	1F1D	20
1F1E	1F1F	00
1F20	1F45	20
1F46	1F47	00
1F48	1F4D	20
1F4E	1F4F	00
1F50	1F57	20
1F58	1F58	00
1F59	1F59	20
1F5A	1F5A	00
1F5B	1F5B	20
1F5C	1F5C	00
1F5D	1F5D	20
1F5E	1F5E	00
1F5F	1F7D	20
1F7E	1F7F	00
1F80	1FB4	20
1FB5	1FB5	00
1FB6	1FBC	20
1FBD	1FBD	00
1FBE	1FBE	20
1FBF	1FC1	00
1FC2	1FC4	20
1FC5	1FC5	00
1FC6	1FCC	20
1FCD	1FCF	00
1FD0	1FD3	20
1FD4	1FD5	00
1FD6	1FDB	20
1FDC	1FDF	00
1FE0	1FEC	20
1FED	1FF1	00
1FF2	1FF4	20
1FF5	1FF5	00
1FF6	1FFC	20
1FFD	206F	00
2070	2070	08
2071	2071	20
2072	2073	00
2074	2079	08
207A	207E	00
207F	207F	20
2080	2089	08
208A	208F	00
2090	209C	20
209D	20CF	00
20D0	20DC	01
20DD	20E0	00
20E1	20E1	01
20E2	20E4	00
20E5	20F0	01
20F1	2101	00
2102	2102	20
2103	2106	00
2107	2107	20
2108	2109	00
210A	2113	20
2114	2114	00
2115	2115	20
2116	2118	00
2119	211D	20
211E	2123	00
2124	2124	20
2125	2125	00
2126	2126	20
2127	2127	00
2128	2128	20
2129	2129	00
212A	212D	20
212E	212E	00
212F	2134	20
2135	2138	10
2139	2139	20
213A	213B	00
213C	213F	20
2140	2144	00
2145	2149	20
214A	214D	00
214E	214E	20
214F	214F	00
2150	215F	08
2160	2182	04
2183	2184	20
2185	2188	04
2189	2189	08
218A	245F	00
2460	249B	08
249C	24E9	00
24EA	24FF	08
2500	2775	00
2776	2793	08
2794	2BFF	00
2C00	2C2E	20
2C2F	2C2F	00
2C30	2C5E	20
2C5F	2C5F	00
2C60	2CE4	20
2CE5	2CEA	00
2CEB	2CEE	20
2CEF	2CF1	01
2CF2	2CF3	20
2CF4	2CFC	00
2CFD	2CFD	08
2CFE	2CFF	00
2D00	2D25	20
2D26	2D26	00
2D27	2D27	20
2D28	2D2C	00
2D2D	2D2D	20
2D2E	2D2F	00
2D30	2D67	10
2D68	2D6E	00
2D6F	2D6F	20
2D70	2D7E	00
2D7F	2D7F	01
2D80	2D96	10
2D97	2D9F	00
2DA0	2DA6	10
2DA7	2DA7	00
2DA8	2DAE	10
2DAF	2DAF	00
2DB0	2DB6	10
2DB7	2DB7	00
2DB8	2DBE	10
2DBF	2DBF	00
2DC0	2DC6	10
2DC7	2DC7	00
2DC8	2DCE	10
2DCF	2DCF	00
2DD0	2DD6	10
2DD7	2DD7	00
2DD8	2DDE	10
2DDF	2DDF	00
2DE0	2DFF	01
2E00	2E2E	00
2E2F	2E2F	20
2E30	3004	00
3005	3005	20
3006	3006	10
3007	3007	04
3008	3020	00
3021	3029	04
302A	302D	01
302E	3030	00
3031	3035	20
3036	3037	00
